ruby: warning: shebang line ending with \r may cause problems
===========================================
 DEPRECATION: The cocaine gem is deprecated. Please upgrade to terrapin. See https://github.com/thoughtbot/terrapin/ for further instructions. 
===========================================
/usr/local/lib/ruby/gems/2.6.0/gems/miro-0.4.0/lib/miro.rb:13: warning: Insecure world writable dir /home/rtanglao/.local in PATH, mode 040777
D, [2020-02-15T20:04:04.517758 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120138_49429742848_o.jpg-1275-1500.jpg
D, [2020-02-15T20:04:04.518092 #120] DEBUG -- : dominant_colour:dimgray
D, [2020-02-15T20:04:04.940547 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120138_49429742848_o.jpg-1350-1200.jpg
D, [2020-02-15T20:04:04.940975 #120] DEBUG -- : dominant_colour:gray
D, [2020-02-15T20:04:05.372548 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120138_49429742848_o.jpg-1350-1725.jpg
D, [2020-02-15T20:04:05.372974 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:04:05.789444 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120138_49429742848_o.jpg-1500-2550.jpg
D, [2020-02-15T20:04:05.789782 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:04:06.206282 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120138_49429742848_o.jpg-1500-2700.jpg
D, [2020-02-15T20:04:06.206672 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:04:06.644025 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120138_49429742848_o.jpg-150-1800.jpg
D, [2020-02-15T20:04:06.644427 #120] DEBUG -- : dominant_colour:darkslategray
D, [2020-02-15T20:04:07.059118 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120138_49429742848_o.jpg-150-375.jpg
D, [2020-02-15T20:04:07.059546 #120] DEBUG -- : dominant_colour:rosybrown
